idnum	idacr	year	pop	source
2	USA	1816	8659.00	0
2	USA	1817	8899.00	0
2	USA	1818	9139.00	0
2	USA	1819	9379.00	0
2	USA	1820	9618.00	0
2	USA	1821	9939.00	0
2	USA	1822	10268.00	0
2	USA	1823	10596.00	0
2	USA	1824	10924.00	0
2	USA	1825	11252.00	0
2	USA	1826	11580.00	0
2	USA	1827	11909.00	0
2	USA	1828	12237.00	0
2	USA	1829	12565.00	0
2	USA	1830	12901.00	0
2	USA	1831	13321.00	0
2	USA	1832	13742.00	0
2	USA	1833	14162.00	0
2	USA	1834	14582.00	0
2	USA	1835	15003.00	0
2	USA	1836	15423.00	0
2	USA	1837	15843.00	0
2	USA	1838	16264.00	0
2	USA	1839	16684.00	0
2	USA	1840	17120.00	0
2	USA	1841	17733.00	0
2	USA	1842	18345.00	0
2	USA	1843	18957.00	0
2	USA	1844	19569.00	0
2	USA	1845	20182.00	0
2	USA	1846	20794.00	0
2	USA	1847	21406.00	0
2	USA	1848	22018.00	0
2	USA	1849	22631.00	0
2	USA	1850	23261.00	0
2	USA	1851	24086.00	0
2	USA	1852	24911.00	0
2	USA	1853	25736.00	0
2	USA	1854	26561.00	0
2	USA	1855	27386.00	0
2	USA	1856	28212.00	0
2	USA	1857	29037.00	0
2	USA	1858	29862.00	0
2	USA	1859	30687.00	0
2	USA	1860	31513.00	0
2	USA	1861	32351.00	0
2	USA	1862	33188.00	0
2	USA	1863	34026.00	0
2	USA	1864	34863.00	0
2	USA	1865	35701.00	0
2	USA	1866	36538.00	0
2	USA	1867	37376.00	0
2	USA	1868	38213.00	0
2	USA	1869	39051.00	0
2	USA	1870	39905.00	0
2	USA	1871	40938.00	0
2	USA	1872	41972.00	0
2	USA	1873	43006.00	0
2	USA	1874	44040.00	0
2	USA	1875	45073.00	0
2	USA	1876	46107.00	0
2	USA	1877	47141.00	0
2	USA	1878	48174.00	0
2	USA	1879	49208.00	0
2	USA	1880	50262.00	0
2	USA	1881	51542.00	0
2	USA	1882	52821.00	0
2	USA	1883	54100.00	0
2	USA	1884	55379.00	0
2	USA	1885	56658.00	0
2	USA	1886	57938.00	0
2	USA	1887	59217.00	0
2	USA	1888	60496.00	0
2	USA	1889	61775.00	0
2	USA	1890	63056.00	0
2	USA	1891	64361.00	0
2	USA	1892	65666.00	0
2	USA	1893	66970.00	0
2	USA	1894	68275.00	0
2	USA	1895	69580.00	0
2	USA	1896	70885.00	0
2	USA	1897	72189.00	0
2	USA	1898	73494.00	0
2	USA	1899	74799.00	0
2	USA	1900	76094.00	0
2	USA	1901	77584.00	0
2	USA	1902	79163.00	0
2	USA	1903	80632.00	0
2	USA	1904	82166.00	0
2	USA	1905	83822.00	0
2	USA	1906	85450.00	0
2	USA	1907	87008.00	0
2	USA	1908	88710.00	0
2	USA	1909	90490.00	0
2	USA	1910	92407.00	0
2	USA	1911	93863.00	0
2	USA	1912	95335.00	0
2	USA	1913	97225.00	0
2	USA	1914	99111.00	0
2	USA	1915	100546.00	0
2	USA	1916	101961.00	0
2	USA	1917	103268.00	0
2	USA	1918	103208.00	0
2	USA	1919	104514.00	0
2	USA	1920	106461.00	0
2	USA	1921	108538.00	0
