"id","year","active_year","type_of_violence","conflict_new_id","conflict_name","dyad_new_id","dyad_name","side_a_new_id","gwnoa","side_a","side_b_new_id","gwnob","side_b","number_of_sources","source_article","source_office","source_date","source_headline","source_original","where_prec","where_coordinates","adm_1","adm_2","latitude","longitude","geom_wkt","priogrid_gid","country","country_id","region","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","low","best","high"
53734,1989,1,2,10620,"Mohajir - Pashtun",11230,"Mohajir - Pashtun",2848,"","Mohajir",2847,NA,"Pashtun",-1,"R 14/3 1989","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",2,2,"1989-03-10","1989-03-14",0,0,0,12,12,12,12
53285,1990,1,2,10621,"Mohajir - Sindhi",11231,"Mohajir - Sindhi",2848,"","Mohajir",2849,NA,"Sindhi",-1,"R 30/1 1990, 31/1 1990","",NA,"","Doctors",1,"Hyderabad Town","Sindh Province","Hyderabad District",25.379167,68.368333,"POINT (68.368333 25.379167)",166097,"Pakistan",770,"Asia",1,1,"1990-01-30","1990-01-30",0,0,0,13,13,13,13
73660,1990,1,1,322,"Bangladesh:Chittagong Hill Tracts",705,"Government of Bangladesh - JSS/SB",143,"771","Government of Bangladesh",285,NA,"JSS/SB",-1,"R 11/15/1990 FOUR BANGLADESHI TRIBAL REBELS KILLED IN BATTLES WITH ARMY.","",NA,"","officials",4,"Chittagong Division","Chittagong Division","",22.916667,91.5,"POINT (91.500000 22.916667)",162544,"Bangladesh",771,"Asia",2,2,"1990-11-13","1990-11-15",0,3,1,0,4,4,4
72630,1991,0,2,4591,"Supporters of Awami League - Supporters of BNP",5201,"Supporters of Awami League - Supporters of BNP",372,"","Supporters of Awami League",374,NA,"Supporters of BNP",-1,"Reuters (9 January 1991):  ""TWO KILLED, 10 HURT IN CLASHES BETWEEN RIVAL ACTIVISTS"".","",NA,"","police and witnesses",1,"Chittagong town","Chittagong Division","Chittagong District",22.338396,91.831685,"POINT (91.831685 22.338396)",161824,"Bangladesh",771,"Asia",1,1,"1991-01-09","1991-01-09",0,0,0,2,2,2,2
49838,1991,1,2,4785,"MTA - UWSA",5395,"MTA - UWSA",255,"","MTA",364,NA,"UWSA",-1,"R 21/12 1991","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",2,4,"1991-12-01","1991-12-21",50,300,0,0,350,350,350
71694,1992,1,1,222,"Myanmar (Burma):Government",434,"Government of Myanmar (Burma) - ABSDF",144,"775","Government of Myanmar (Burma)",185,NA,"ABSDF",1,"""Far from home: 20 years in exile.,2008-12-31,.""","Far from home: 20 years in exile.",2008-12-31,".","AGGREGATION ",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",2,5,"1992-01-01","1992-12-31",0,0,0,25,25,25,25
49212,1992,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 21/2 1992","",NA,"","thai army source",1,"Manerplaw base","Kayin State","Kawkareik District",17.836972,97.678028,"POINT (97.678028 17.836972)",155356,"Myanmar (Burma)",775,"Asia",2,4,"1992-02-07","1992-02-21",80,0,0,0,80,80,80
73890,1992,1,3,512,"JSS/SB - Civilians",979,"JSS/SB - Civilians",285,"","JSS/SB",1,NA,"Civilians",-1,"R, 1992-05-05","",NA,"","security officials",1,"Amtali town","Chittagong Division","Chittagong District",22.750428,91.753009,"POINT (91.753009 22.750428)",162544,"Bangladesh",771,"Asia",1,1,"1992-05-04","1992-05-04",0,0,3,0,3,3,3
54302,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 6/12 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-12-06","1994-12-06",0,0,1,10,11,11,11
50326,1994,1,1,264,"Myanmar (Burma):Shan",549,"Government of Myanmar (Burma) - MTA",144,"775","Government of Myanmar (Burma)",255,NA,"MTA",-1,"R 18/5 1994","",NA,"","MTA sources, government TV",4,"Shan State","Shan State","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",2,2,"1994-05-12","1994-05-16",34,4,0,0,38,38,38
55029,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 14/8 1994","",NA,"","Government sources",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-08-14","1994-08-14",0,0,0,7,7,7,7
59569,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 18/10 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-10-17","1994-10-17",3,0,0,0,3,3,3
52251,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 12/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",2,2,"1994-11-10","1994-11-12",0,0,0,2,2,2,2
55047,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 22/11 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-11-22","1994-11-22",0,0,0,6,6,6,6
51352,1994,0,2,4612,"DKBA - KNU",5222,"DKBA - KNU",785,"","DKBA",180,NA,"KNU",-1,"R 16/12 1994","",NA,"","",5,"Confluence of the Moie and Salween rivers","","",17.832892,97.69095,"POINT (97.690950 17.832892)",155356,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-16","1994-12-16",0,3,0,0,3,3,3
55089,1995,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 12/3 1995","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1995-03-12","1995-03-12",0,0,0,6,6,6,6
55105,1995,1,1,404,"Pakistan:Government",855,"Government of Pakistan - MQM",142,"770","Government of Pakistan",354,NA,"MQM",-1,"R 22/5 1995, BBC 25/5 1995","",NA,"","Government spokesman",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1995-05-22","1995-05-22",4,0,0,9,13,13,16
55106,1995,0,1,218,"Government of India-Government of Pakistan",422,"Government of India - Government of Pakistan",141,"750","Government of India",142,770,"Government of Pakistan",-1,"R 31/5 1995","",NA,"","Pakistani official",3,"Neelam District","Azad Jammu & Kashmir","Neelam District",34.919183,74.430014,"POINT (74.430014 34.919183)",179789,"Pakistan",770,"Asia",1,1,"1995-05-30","1995-05-30",0,0,0,0,0,0,24
48721,1995,0,1,253,"Myanmar (Burma):Karenni",511,"Government of Myanmar (Burma) - KNPP",144,"775","Government of Myanmar (Burma)",225,NA,"KNPP",-1,"Bangkok Post 3/11","",NA,"","",4,"Kayah State","Kayah State","",19.25,97.5,"POINT (97.500000 19.250000)",157516,"Myanmar (Burma)",775,"Asia",2,5,"1995-07-01","1995-11-01",0,0,0,0,0,0,198
53234,1995,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 26/6 1995","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1995-06-26","1995-06-26",0,0,0,16,16,16,16
